Date,Open,High,Low,Close,Volume,Adj Close
2015-02-12,0.10,0.10,0.10,0.10,000,0.10
2015-02-11,0.10,0.10,0.10,0.10,000,0.10
2015-02-10,0.10,0.10,0.10,0.10,000,0.10
2015-02-09,0.10,0.10,0.10,0.10,1900,0.10
2015-02-06,0.10,0.10,0.10,0.10,2000,0.10
2015-02-05,0.10,0.10,0.10,0.10,000,0.10
2015-02-04,0.10,0.10,0.10,0.10,000,0.10
2015-02-03,0.10,0.10,0.10,0.10,000,0.10
2015-02-02,0.10,0.10,0.10,0.10,000,0.10
2015-01-30,0.10,0.10,0.10,0.10,000,0.10
2015-01-29,0.10,0.10,0.10,0.10,000,0.10
2015-01-28,0.10,0.10,0.10,0.10,000,0.10
2015-01-27,0.10,0.10,0.10,0.10,000,0.10
2015-01-26,0.10,0.10,0.10,0.10,000,0.10
2015-01-23,0.10,0.10,0.10,0.10,000,0.10
2015-01-22,0.10,0.10,0.10,0.10,000,0.10
2015-01-21,0.10,0.10,0.10,0.10,000,0.10
2015-01-20,0.10,0.10,0.10,0.10,000,0.10
2015-01-16,0.10,0.10,0.10,0.10,000,0.10
2015-01-15,0.10,0.10,0.10,0.10,000,0.10
2015-01-14,0.10,0.10,0.10,0.10,000,0.10
2015-01-13,0.10,0.10,0.10,0.10,000,0.10
2015-01-12,0.10,0.10,0.10,0.10,000,0.10
2015-01-09,0.10,0.10,0.10,0.10,4900,0.10
2015-01-08,0.13,0.13,0.13,0.13,300,0.13
2015-01-07,0.12,0.12,0.12,0.12,000,0.12
2015-01-06,0.12,0.12,0.12,0.12,1600,0.12
2015-01-05,0.10,0.10,0.10,0.10,000,0.10
2015-01-02,0.10,0.10,0.10,0.10,2200,0.10
2014-12-31,0.10,0.10,0.10,0.10,100,0.10
2014-12-30,0.10,0.10,0.10,0.10,3400,0.10
2014-12-29,0.10,0.10,0.10,0.10,000,0.10
2014-12-26,0.10,0.10,0.10,0.10,000,0.10
2014-12-24,0.10,0.10,0.10,0.10,000,0.10
2014-12-23,0.10,0.10,0.10,0.10,700,0.10
2014-12-22,0.10,0.10,0.10,0.10,4000,0.10
2014-12-19,0.10,0.10,0.10,0.10,000,0.10
2014-12-18,0.112,0.112,0.10,0.10,40600,0.10
2014-12-17,0.112,0.112,0.112,0.112,000,0.112
2014-12-16,0.112,0.112,0.112,0.112,000,0.112
